28,34,-3.076506499997896,4431.023879998412
29,30,-3.010309299997839,4380.094642998369
30,26,-3.118628299997783,4463.299436498326
34,18,-3.220117159999413,4532.046354799557
36,13,-3.346283230000926,4626.2402019007
37,9,-3.363409529998469,4642.228712898844
39,5,-3.49573489999894,4739.2251274992
40,1,-3.619207209999614,4834.267651299709
32,35,-2.95874147999691,4315.616247897667
34,30,-2.965671239997867,4318.350671198389
36,26,-3.013096249997898,4350.774749498413
37,22,-3.107930649996604,4425.733651997435
38,18,-3.125010299999111,4440.064993999329
40,14,-3.269371419997259,4547.07305059793
42,10,-3.360572039998142,4611.063471698597
43,6,-3.42109883999944,4660.476353199578
45,1,-3.711781289996337,4878.344570697234
37,35,-2.874732129999737,4223.818543399801
38,31,-2.658730239998932,4062.393936199194
40,27,-2.798981959999091,4165.828984299314
41,23,-2.938797229996354,4273.975597897246
43,19,-3.149539789998332,4430.00067719874
45,14,-3.013726489998469,4325.905339198845
46,10,-3.070503779998989,4372.448530899237
48,6,-3.152810019996957,4431.766701097702
50,2,-3.220911099996266,4479.201731497181
41,36,-2.533369549998175,3943.510687498622
44,32,-2.750952249997623,4099.559217998206
44,28,-2.662993659999513,4038.700259299633
46,23,-2.762291740001184,4115.113712700894
48,19,-2.789701449999523,4132.63076449964
49,15,-3.039282380000943,4323.841924900712
51,11,-3.108461979997181,4373.340839897872
53,6,-3.042452089997344,4323.828973697995
54,2,-3.254431599998443,4487.221595498824
46,36,-2.594845329995993,3962.395841396974
48,32,-2.582581669998314,3949.253313098727
49,28,-2.607555569998728,3970.98009759904
50,24,-2.589189379996911,3962.343422397668
52,20,-2.677745340000572,4025.421592200432
54,15,-2.813081959998199,4127.62811379864
56,11,-2.905626569999304,4196.544392099475
57,7,-2.862691429997226,4165.936536397905
59,3,-2.831533879999146,4141.966198399356
50,37,-2.46986653999778,3842.321436198324
52,33,-2.50823963999909,3870.549547199313
54,28,-2.522753489997663,3882.082582698236
56,24,-2.517910229998741,3874.481381899049
57,20,-2.663740669998531,3988.915149098891
59,16,-2.628950999998063,3960.508032498538
60,12,-2.686603059997382,4008.481056298023
62,7,-2.837809829995877,4121.511226896887
64,3,-2.86406452999771,4141.522041398272
55,37,-2.21730436999822,3627.715884098656
57,33,-2.558107639997339,3881.743497697991
58,29,-2.236923189998676,3641.095937199
60,25,-2.174835639997778,3593.699364198322
62,20,-2.32971709999908,3711.622481999306
64,16,-2.611542339999074,3922.051481199301
65,12,-2.665039970000215,3966.470140600162
67,8,-2.625808439997494,3935.174537198108
68,4,-2.766830469999571,4044.925276599676
60,38,-2.285103049998115,3647.888747498577
61,34,-1.959537340000224,3407.750207700169
63,29,-2.302063749996293,3663.963708497201
65,25,-2.120809070000101,3528.447609600076
66,21,-2.327249810000301,3688.270575300227
68,17,-2.366079039998128,3713.391801698587
70,12,-2.64590725999768,3928.303881298249
72,8,-2.316768119999602,3681.943533099699
73,4,-2.597918879999386,3895.836694899537
75,0,-2.565598739997162,3870.615574197857
68,30,-2.229747159999568,3582.661995299674
69,26,-2.452254449999651,3752.877365499736
71,22,-2.35492715999792,3680.54767129843
73,17,-2.478604709997955,3776.411022798457
74,13,-2.435805919998776,3749.972216599076
76,9,-2.485281349997076,3784.931880997792
78,4,-2.585896649999864,3864.556080999897
79,1,-2.429501879998848,3746.24073539913
76,22,-1.881543919998683,3299.612324099005
77,18,-2.093681289999281,3462.833120199457
79,14,-2.034902359996823,3418.043089797601
81,9,-2.365383579999218,3671.521121399409
82,5,-2.484331549998721,3765.591032499035
84,1,-2.235568569998083,3575.383601098552
84,14,-2.23876709999955,3549.63120599966
85,10,-2.040857809996266,3403.440983797181
87,6,-2.282075069999591,3583.390727099692
88,2,-2.152162239998449,3493.016176198829
92,6,-2.152001519999573,3466.433028599678
93,2,-2.359385940000078,3628.682760700059
